Order ID,Product,Quantity Ordered,Price Each,Date,Time,Street Name,City,State,ZipCode
176558,USB-C Charging Cable,2,11.95,04/19/19,8:46:00 AM,917 1st St, Dallas,TX,75001
176559,Bose SoundSport Headphones,1,99.99,04/07/19,10:30:00 PM,682 Chestnut St, Boston,MA,02215
176560,Google Phone,1,600,04/12/19,2:38:00 PM,669 Spruce St, Los Angeles,CA,90001
176560,Wired Headphones,1,11.99,04/12/19,2:38:00 PM,669 Spruce St, Los Angeles,CA,90001
176561,Wired Headphones,1,11.99,04/30/19,9:27:00 AM,333 8th St, Los Angeles,CA,90001
176562,USB-C Charging Cable,1,11.95,04/29/19,1:03:00 PM,381 Wilson St, San Francisco,CA,94016
176563,Bose SoundSport Headphones,1,99.99,04/02/19,7:46:00 AM,668 Center St, Seattle,WA,98101
176564,USB-C Charging Cable,1,11.95,04/12/19,10:58:00 AM,790 Ridge St, Atlanta,GA,30301
176565,Macbook Pro Laptop,1,1700,04/24/19,10:38:00 AM,915 Willow St, San Francisco,CA,94016
176566,Wired Headphones,1,11.99,04/08/19,2:05:00 PM,83 7th St, Boston,MA,02215
176567,Google Phone,1,600,04/18/19,5:18:00 PM,444 7th St, Los Angeles,CA,90001
176568,Lightning Charging Cable,1,14.95,04/15/19,12:18:00 PM,438 Elm St, Seattle,WA,98101
176569,27in 4K Gaming Monitor,1,389.99,04/16/19,7:23:00 PM,657 Hill St, Dallas,TX,75001
176570,AA Batteries (4-pack),1,3.84,04/22/19,3:09:00 PM,186 12th St, Dallas,TX,75001
176571,Lightning Charging Cable,1,14.95,04/19/19,2:29:00 PM,253 Johnson St, Atlanta,GA,30301
176572,Apple Airpods Headphones,1,150,04/04/19,8:30:00 PM,149 Dogwood St, New York City,NY,10001
176573,USB-C Charging Cable,1,11.95,04/27/19,6:41:00 PM,214 Chestnut St, San Francisco,CA,94016
176574,Google Phone,1,600,04/03/19,7:42:00 PM,20 Hill St, Los Angeles,CA,90001
176574,USB-C Charging Cable,1,11.95,04/03/19,7:42:00 PM,20 Hill St, Los Angeles,CA,90001
176575,AAA Batteries (4-pack),1,2.99,04/27/19,12:30:00 AM,433 Hill St, New York City,NY,10001
176576,Apple Airpods Headphones,1,150,04/28/19,11:42:00 AM,771 Ridge St, Los Angeles,CA,90001
